Clients,Execution
10,3.38917,0.338917
20,3.64735,0.182367
30,3.93885,0.131295
40,4.22,0.1055
50,4.48942,0.0897884
60,4.79749,0.0799582
70,5.0483,0.0721186
80,5.35652,0.0669565
90,5.62893,0.0625437
100,5.86759,0.0586759
